batterID,batterName,Hits,AB,battingSpot,Avg,pitcherID,pitcherName,pitcherERA,pitcherAvg
543281,Josh Harrison,0,5,1,0.0,573186,Marcus Stroman,0.0,0.095
592206,Nick Castellanos,1,4,2,0.333,573186,Marcus Stroman,0.0,0.095
408234,Miguel Cabrera,0,4,3,0.0,573186,Marcus Stroman,0.0,0.095
600869,Jeimer Candelario,1,4,4,0.25,573186,Marcus Stroman,0.0,0.095
592348,Niko Goodrum,1,4,5,0.333,573186,Marcus Stroman,0.0,0.095
621514,Christin Stewart,1,4,6,0.25,573186,Marcus Stroman,0.0,0.095
606988,Grayson Greiner,0,4,7,0.0,573186,Marcus Stroman,0.0,0.095
474568,Jordy Mercer,0,3,8,0.0,573186,Marcus Stroman,0.0,0.095
543484,Mikie Mahtook,0,4,9,0.0,573186,Marcus Stroman,0.0,0.095
543281,Josh Harrison,0,4,1,0.0,533167,Matt Shoemaker,0.0,0.087
592206,Nick Castellanos,2,4,2,0.429,533167,Matt Shoemaker,0.0,0.087
408234,Miguel Cabrera,0,4,3,0.0,533167,Matt Shoemaker,0.0,0.087
600869,Jeimer Candelario,0,4,4,0.125,533167,Matt Shoemaker,0.0,0.087
592348,Niko Goodrum,0,3,5,0.167,533167,Matt Shoemaker,0.0,0.087
621514,Christin Stewart,0,3,6,0.167,533167,Matt Shoemaker,0.0,0.087
543308,John Hicks,0,3,7,0.0,533167,Matt Shoemaker,0.0,0.087
474568,Jordy Mercer,0,3,8,0.0,533167,Matt Shoemaker,0.0,0.087
543484,Mikie Mahtook,0,3,9,0.0,533167,Matt Shoemaker,0.0,0.087
543281,Josh Harrison,1,4,1,0.091,592717,Aaron Sanchez,0.0,0.176
592206,Nick Castellanos,1,4,2,0.364,592717,Aaron Sanchez,0.0,0.176
543484,Mikie Mahtook,0,1,3,0.0,592717,Aaron Sanchez,0.0,0.176
600869,Jeimer Candelario,0,4,4,0.083,592717,Aaron Sanchez,0.0,0.176
592348,Niko Goodrum,0,4,5,0.111,592717,Aaron Sanchez,0.0,0.176
621514,Christin Stewart,0,4,6,0.111,592717,Aaron Sanchez,0.0,0.176
606988,Grayson Greiner,1,4,7,0.125,592717,Aaron Sanchez,0.0,0.176
640460,Dustin Peterson,0,4,8,0.0,592717,Aaron Sanchez,0.0,0.176
493596,Gordon Beckham,0,4,9,0.0,592717,Aaron Sanchez,0.0,0.176
600869,Jeimer Candelario,5,6,1,0.333,663423,Trent Thornton,0.0,0.118
592206,Nick Castellanos,1,6,2,0.294,663423,Trent Thornton,0.0,0.118
408234,Miguel Cabrera,0,6,3,0.133,663423,Trent Thornton,0.0,0.118
592348,Niko Goodrum,3,5,4,0.308,663423,Trent Thornton,0.0,0.118
621514,Christin Stewart,0,5,5,0.077,663423,Trent Thornton,0.0,0.118
543308,John Hicks,0,5,6,0.0,663423,Trent Thornton,0.0,0.118
543484,Mikie Mahtook,0,5,7,0.0,663423,Trent Thornton,0.0,0.118
606988,Grayson Greiner,1,4,8,0.167,663423,Trent Thornton,0.0,0.118
474568,Jordy Mercer,0,5,9,0.0,663423,Trent Thornton,0.0,0.118
543281,Josh Harrison,0,4,1,0.067,593334,Domingo German,0.0,0.062
592206,Nick Castellanos,0,4,2,0.263,593334,Domingo German,0.0,0.062
640460,Dustin Peterson,0,0,3,0.0,593334,Domingo German,0.0,0.062
592348,Niko Goodrum,0,4,4,0.25,593334,Domingo German,0.0,0.062
600869,Jeimer Candelario,0,4,5,0.273,593334,Domingo German,0.0,0.062
621514,Christin Stewart,0,4,6,0.063,593334,Domingo German,0.0,0.062
606988,Grayson Greiner,0,4,7,0.125,593334,Domingo German,0.0,0.062
474568,Jordy Mercer,2,4,8,0.154,593334,Domingo German,0.0,0.062
543484,Mikie Mahtook,0,4,9,0.0,593334,Domingo German,0.0,0.062
543281,Josh Harrison,1,5,1,0.1,547888,Masahiro Tanaka,1.46,0.286
592206,Nick Castellanos,2,5,2,0.292,547888,Masahiro Tanaka,1.46,0.286
408234,Miguel Cabrera,1,4,3,0.143,547888,Masahiro Tanaka,1.46,0.286
600869,Jeimer Candelario,2,4,4,0.308,547888,Masahiro Tanaka,1.46,0.286
543308,John Hicks,2,4,5,0.182,547888,Masahiro Tanaka,1.46,0.286
592348,Niko Goodrum,0,1,6,0.25,547888,Masahiro Tanaka,1.46,0.286
640460,Dustin Peterson,1,4,7,0.125,547888,Masahiro Tanaka,1.46,0.286
606988,Grayson Greiner,1,4,8,0.15,547888,Masahiro Tanaka,1.46,0.286
474568,Jordy Mercer,1,4,9,0.176,547888,Masahiro Tanaka,1.46,0.286
543281,Josh Harrison,1,4,1,0.125,642528,Jonathan Loaisiga,2.25,0.083
592206,Nick Castellanos,0,4,2,0.259,642528,Jonathan Loaisiga,2.25,0.083
408234,Miguel Cabrera,0,4,3,0.12,642528,Jonathan Loaisiga,2.25,0.083
592348,Niko Goodrum,1,4,4,0.263,642528,Jonathan Loaisiga,2.25,0.083
600869,Jeimer Candelario,0,4,5,0.276,642528,Jonathan Loaisiga,2.25,0.083
543484,Mikie Mahtook,0,0,6,0.0,642528,Jonathan Loaisiga,2.25,0.083
543308,John Hicks,0,3,7,0.143,642528,Jonathan Loaisiga,2.25,0.083
474568,Jordy Mercer,0,3,8,0.15,642528,Jonathan Loaisiga,2.25,0.083
493596,Gordon Beckham,1,3,9,0.167,642528,Jonathan Loaisiga,2.25,0.083
543281,Josh Harrison,1,5,1,0.148,596001,Jakob Junis,4.63,0.261
592206,Nick Castellanos,0,4,2,0.241,596001,Jakob Junis,4.63,0.261
408234,Miguel Cabrera,1,4,3,0.148,596001,Jakob Junis,4.63,0.261
